sim_nr,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,acorr_GDP,U_1st,U_2nd,dU_1st,dU_2nd,dU_3rd,dU_4th,corr_GDP_dU,GINI_I_1st,GINI_I_2nd,GINI_W_1st,GINI_W_2nd,LP_g_1st,LP_g_2nd,EE_g_1st,EE_g_2nd,EF_g_1st,EF_g_2nd,FGT_1st,FGT_2nd,em2030,em2040,em2050
3716,-0.0027265891580412964,0.22491634784440637,-2.40066291571068,13.339992311758493,0.7040043672816639,0.06278891966759002,1.1326099107417661e-5,0.17361753781515182,24.41550201277649,0.289358020207218,0.11933962284720234,-0.36853583043782184,0.12388678109172872,1.3549760248237876e-6,0.250561251243207,1.9750334083246855e-5,-0.22422849992200303,0.017872260536017724,0.0025121051968491166,0.0006125244838305292,0.004091773801617833,0.0009867256558730576,0.0,0.0,129.66920284604043,164.46639939541797,222.55670984162018
3717,0.3314406551931047,0.32907129914186456,-1.1182293422553071,5.1400997497682255,0.7600926057837785,0.017288642659279773,5.487567620806403e-5,5.2397370533495105,2228.8301186535105,4.948761752466034,35.61635296343337,-0.35508860254724256,0.09415254710415796,2.0736691847815825e-5,0.17190142183653323,6.295981749370839e-5,-0.1745744717942126,0.004931633674719208,-0.0020737621988335944,0.00025946950049576887,-0.019480663307345214,0.00046479654844076233,0.0,0.0,127.15180175029016,162.8342445241095,204.0170714653007
3718,0.16309530733841313,2.015204573973809,0.06920431472446573,1.360460189711561,0.4727947059791777,0.00021717451523545705,3.464819944598336e-7,NaN,NaN,NaN,NaN,NaN,0.06009968892089412,9.26547682053813e-6,0.14293451053235787,0.00023091681073752506,-0.0757133934172028,0.3922309855830441,0.002894478353868842,0.002218956001375038,0.001432430691147696,0.0028173558294909465,0.0,0.0,120.4341788411836,137.76245567854517,167.14675716242863
3719,0.15140097745758685,4.806955604594925,0.36900269190192686,1.831640324244459,0.3476866628262429,0.0023268698060941824,1.1120859341335796e-5,NaN,NaN,NaN,NaN,NaN,0.16552001462151042,4.3527925922717776e-5,0.6162636934945621,0.015469447384667642,-0.010879474354801385,0.18385641026562846,0.004037723568792648,0.0013260844753601752,-0.0009676935125817148,0.00010675000351234559,0.00038440194078688626,1.9358260447957924e-8,105.06171613163747,115.2674269908377,119.5769634868042
3720,0.17799453278653746,0.5490596802987718,0.08392565473048759,-0.28220624739669553,0.6555924933126657,0.05325650969529084,0.0016488203533394882,1.4729559149273392,2800.545369061367,7.785845145875312,73.33866527598002,-0.2861377010989705,0.04846389933075387,3.3721451725334186e-5,0.19134790060502438,0.00021903665329193849,-0.2227226393468792,0.020418629425651376,0.010346799965238924,0.0006231169677866443,-0.016101944089918142,0.0012031703828438269,7.70444285519952e-5,3.221030349849022e-8,141.56846605024276,211.82260617973358,293.6111053992157
3721,-0.015272770980272346,0.3169855855306675,-1.9429626541586777,8.653243109262792,0.5302170127704044,0.025915789473684205,7.796444444444445e-5,5.149428379114818,1161.5255870075614,1.287071711959474,2.8845885127705424,-0.06020000109699321,0.0731505510926099,1.017875456583763e-5,0.13669985152466688,8.990838436421262e-6,-0.14918626821954672,0.003801309398402133,-0.027878293761956115,0.0004237752812799832,0.018514566780292306,0.0002006047750442763,0.0,0.0,110.44662841756086,125.99321010079959,145.57285505302556
3722,0.06097205328494137,8.127982194402012,0.008430549327640475,-1.6478235320090406,-0.9317416484270192,0.043633240997229907,5.393844752231456e-5,4.294934106565115,955.9362441559593,0.32666525250558054,-1.0325998426481031,-0.9002040106314433,0.1289267164836829,7.5537983307171185e-6,0.29122659062884443,2.9848712872601883e-6,-0.08615300069961539,0.012599447988066748,-0.002722457794758014,0.0009920450134049469,0.0037401027303922067,0.0003444078899936159,0.0,0.0,111.40419748410135,119.51660459536649,133.16865796025186
3723,0.02929273742664601,6.404778426525051,-2.0179949890873825,5.794667638325231,0.926977455979817,0.10361772853185597,0.01622792590704832,NaN,NaN,NaN,NaN,NaN,0.027235263318018607,6.135748786558531e-5,0.831142113360544,0.02843485302776697,-0.09349357554027472,0.03964849697843419,-0.012073379562964223,0.002590319883130407,0.015963819571550776,0.004675193648636676,0.011156446621880652,0.000726808349609052,91.33450944494464,110.95739662756266,129.86056434445328
3724,0.2478386426692926,9.215200419285384,-0.11638347127345854,0.672266710465041,-0.13904266465090806,0.0013285318559556785,2.6735433671899048e-5,NaN,NaN,NaN,NaN,NaN,0.07205813520239199,1.2620030445215545e-5,0.4833641852214407,0.003781663770344747,-0.030695852152649118,0.35605760470553893,-0.00044550326630737045,0.0029685974681017513,0.003915822184433962,0.004125992891677869,0.0,0.0,108.51332305237668,116.0121957612144,126.06540087359674
3725,-9.51060137616617e-12,1.7339898882031907e-11,0.00046768929454007384,62.683867429936,0.394211687770192,0.006400000000000004,1.2070498436176947e-35,0.0,0.0,NaN,NaN,NaN,0.08703587992999785,4.729992446048834e-18,0.13666117693906663,8.006163342804505e-6,1.717963749147981e-30,3.9210355906653904e-28,-6.166949601628632e-17,5.725118937333203e-28,6.167051026984222e-17,4.95643593236182e-28,0.0,0.0,100.0,100.0,100.0
3726,0.3991342830290357,6.431334349789491,0.24023513194710963,0.851619997594911,0.13281381884660148,0.0035512465373961225,0.00027369894983071707,NaN,NaN,NaN,NaN,NaN,0.11232857975308781,2.1158149555473833e-5,0.7032443459155817,0.009447491075857193,-0.015034756680017683,0.11149494594291791,-0.0005290859175663193,0.00080208820833784,0.00023021959195359233,0.0002922744883885619,2.8088282800314597e-8,2.848115386720324e-13,107.7070784119396,115.14327209604815,118.47099449811341
3727,0.08890865699402216,2.5638333236391015,0.3643203971964076,0.887536235646603,0.5889218947087786,0.0010969529085872577,2.2941796244998473e-5,NaN,NaN,NaN,NaN,NaN,0.0971893376811794,1.2197192193403255e-5,0.4771256174729085,0.012490905266098622,-0.03370292154433184,0.07935221111226307,0.011807512466441078,0.0014692695472381541,-0.007654632291220267,0.0001992490911832573,0.0,0.0,120.94911260282161,142.85229538214907,165.42749991443014
