sim_nr,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,acorr_GDP,U_1st,U_2nd,dU1st,corr_GDP_dU,GINI_I_1st,GINI_I_2nd,GINI_W_1st,GINI_W_2nd,LP_g_1st,LP_g_2nd,EE_g_1st,EE_g_2nd,EF_g_1st,EF_g_2nd,FGT_1st,FGT_2nd,em2030,em2040,em2050
6876,-0.20908527033235733,4.062387397509286,-0.10731976173049085,1.663065308694832,0.33010836239071223,0.4419534626038782,0.0030438458282548474,0.29730298116858006,-0.026798455520111883,0.0648005336856276,0.0002916275585536481,0.17822012865639555,0.004543224065164071,-0.9314937419650219,0.21302105673537652,-0.08214985406880557,0.036552879002284905,0.06934246868290184,0.05315045443607697,0.09731859550318456,0.000545829000103394,189.16567568549223,568.9932193625204,1392.0939842831474
6877,0.25953063642405283,6.289539604561532,0.43459567194214976,1.071637116123993,0.2496018568870529,0.0003656509695290859,6.108594644506001e-6,NaN,NaN,0.10820090782965235,0.0001278392149367223,0.19122997976689218,0.000156682505392902,-0.03362261974783423,0.054607208979699694,-0.0054284652181683275,0.0015469635987510942,0.0008690047469014326,9.307687927524815e-5,0.001082601718687769,7.100911527018156e-7,103.29905396957723,120.79944462912997,134.31957913148736
6878,-0.08840622808573616,0.3272227153934578,-0.29162480806906027,1.5377780205705944,0.3067389486831106,0.9181562326869807,0.0002800310791012619,0.045688665713040026,-0.39034513863337433,0.02816707861944648,0.00012815377354179327,0.03771738203079807,0.0002311793475326653,-0.5584698335114824,9.08042040262797,-0.07749921414010137,0.6092690637928837,0.11063041679069724,1.7086531818480926,0.1430324058845331,9.363530841538393e-6,115.94159303239586,178.9413644963139,223.88021341791188
6879,0.37625488925134487,46.58290096718903,1.263445706313844,5.824532722110451,0.0798747283760759,0.3580265927977839,0.0019368517353031704,0.9906935637069584,0.03637573429307685,0.014149376210451542,2.4083096255813754e-5,0.035162814710029085,0.00010405951140756984,-0.16268518822583983,5.033264538643663,-0.0017235367986575033,0.011558665932791316,0.0056996630514266145,0.05736456370173234,0.12664051667600507,0.0003878688495565323,115.63164343746696,181.02006958365573,243.40511029915805
6880,0.05944492288799728,2.9278001132431966,0.0872674270308398,-0.13254083436453667,0.23073747928421,0.008090858725761773,0.0004821828328716531,NaN,NaN,0.04506483947296618,1.4586903056905436e-5,0.1196937234433456,0.0002223810240105673,-0.05128081093292638,0.008667778869546831,-0.006047298895154839,0.0004701487465433952,-0.003935533804648123,0.00028516351255158224,6.0189798124953235e-5,5.124066613171911e-8,110.1480869526827,123.10868667277057,139.04086948657988
6881,-0.0407003381450531,0.2564117276569831,-0.03018146908353645,0.7894272182987132,0.33265589406795787,0.9232443213296401,0.0001654842523853492,0.04049109388919436,-0.5973868852706306,0.003383432481276475,4.666929533356799e-6,0.006718405043990877,5.743358242625509e-6,-0.31026892158096925,17.151280572952604,-0.029213123235353806,0.7051219717739927,0.03298531316560785,0.7970684747842122,0.14909937245840435,5.083592845440887e-7,123.48483777154694,137.85476701856976,197.30740751518988
6882,0.03536290637493504,5.1531761264152145,-0.2245106287339571,0.6340547913990147,-0.04362211438423618,0.008210526315789472,0.00017655822222222215,NaN,NaN,0.17169502867936914,0.00011447972078893505,0.26648279815800185,0.00024393876910999365,-0.10741597907075431,0.2628724503607222,-0.008676061047400279,0.0030577890094570085,0.006900450680506341,0.0010252574288310632,1.1240161663180079e-6,7.789010648976054e-12,117.45751416058165,133.81781659738186,155.8787453559694
6883,0.06107406436367193,1.626620633761765,0.7450674946912829,1.3556332825069077,0.3533200384926737,0.2090781163434903,0.0025597113253308713,0.5190139031679238,-0.046616557373088535,0.14276076119034026,0.00010783513006590698,0.2631217638025612,6.691705761616352e-5,-0.3001764502909364,0.42995455784362896,-0.03452585675930076,0.015875807791465794,-0.014763580602081633,0.0017447369305449976,0.006035945758719239,1.0468554531029665e-5,145.81864548882805,191.577656991693,252.19315984986642
6884,0.6502370069807163,122.37051874632601,0.7786962900891915,5.495237066180032,0.5025718975391416,0.449165650969529,0.001421765483533395,0.6527989016738807,0.7929226286522136,0.021362452982407968,8.739236169280035e-6,0.07416667968862273,0.0008432371208828717,-0.2040047587378811,0.03158429596220555,-0.01448894841652657,0.0019386437446527885,0.02489214221109651,0.0024660253023722468,0.12147983926853356,0.00025186223280400133,125.70206864388089,147.74041828416176,169.96096698701538
6885,-0.1239562357769405,3.915692434798658,1.3330237559472393,4.6453696067428485,0.3649086950623029,0.4744941828254847,0.0015019302160664818,0.21894691270369665,-0.043180573918381204,0.10430728728077183,0.0002640782679302104,0.24703014142441046,0.0030597541718233763,-0.673930183015116,0.6985703644591026,0.017215123784608103,0.029115826954499623,0.04320283378998868,0.03857787046440793,0.08452934328155207,0.0004149084393650163,181.04907333801202,428.30198207733787,897.4401252322606
