sim_nr,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,U_1st,U_2nd,GINI_I_1st,GINI_I_2nd,GINI_W_1st,GINI_W_2nd,LP_g_1st,LP_g_2nd,EE_g_1st,EE_g_2nd,EF_g_1st,EF_g_2nd,FGT_1st,FGT_2nd,em2030,em2040,em2050
17501,0.0005859456710131929,0.0008488850649233983,0.3265073166290317,2.4244672143271497,0.0015479224376731301,6.23328359495229e-5,0.1386779442531058,3.1044882401835726e-5,0.3232138287598849,0.005816210700403312,-0.31263748828655136,2.4285335037597706,0.008851301332789845,0.029347143248729952,0.004529880561559567,0.02302413156008044,5.7063130956551774e-5,8.583868283531363e-8,222.74186527473535,341.1491063208856,612.6063288070427
17502,-0.000470065028174145,1.2553340515809046e-5,-0.599130607307031,2.2476174379590663,0.6173728531855955,0.00010752292767005233,0.10550068702433871,2.4571625142487617e-5,0.24777214850155171,4.307212677672821e-5,-0.7836225048676944,0.08422792423743564,-0.02351509755381834,0.023002147102417166,0.03388106308946221,0.026542003238780955,0.18283458306534142,5.228342529916326e-6,322.2404886698145,682.4013563948162,1220.5441577277359
17503,-5.045298156887269e-5,1.7468371929116943e-5,-0.2541958824257898,1.5941177208793436,0.8777307479224378,6.837079716835963e-6,0.026781655767754313,3.357680878305886e-7,0.0526438956975433,8.18507769784943e-7,-0.3967710553515884,3.4825544972548252,-0.016634057354740894,0.13700067037491276,0.06938644940211476,0.3356294164837933,0.23438760557455982,1.1232400721572827e-7,113.16079501317176,183.30647798144997,297.0512407155151
17504,-0.0003179440634663302,0.000397513289727609,-0.028063735471568416,0.9063289067622438,0.5724620498614958,0.00030922102800861787,0.05344473580291006,6.816673872918546e-5,0.2308544233035811,0.0008543746189116538,-0.8354490081534034,3.225471529674734,-0.07393413027855006,0.17047502163757544,-0.06029542178220616,0.08148633006520752,0.18479833193830777,2.195672384345389e-5,275.31827164052515,670.568349292287,2350.8268348301626
17505,-1.8497718926922655e-5,3.652608187464678e-5,0.040460588015517766,0.13259720958929755,0.8698770083102492,2.617275469375202e-6,0.06253867683642571,1.761090021240279e-5,0.10952749080438746,2.3523697101153615e-5,-0.2659888849877089,6.354230200022603,-0.025516512614803505,0.0750367064476914,0.015305020947816056,0.01804638728574686,0.22573111129277804,7.708793388860152e-8,138.07175448919037,221.6091069643994,301.6972468023214
17506,-0.00022445181399049352,2.4072348895957805e-5,-2.872421169365397,13.817201232869515,0.18830027700831017,6.543002770083102e-5,0.20556253502625277,2.341977748698333e-6,0.26444402728471245,5.574230912052127e-6,-0.4792891066289654,0.1487246421029119,0.012138661671224838,0.01872872309745632,0.05852742706689843,0.014611949687719464,0.0378644709820792,7.818292926094468e-6,98.01082920327374,113.0355079364313,127.30473124352308
17507,-0.0012088382287359643,0.0003034915704488758,0.09313330252973752,0.25489561500919455,0.5647567867036012,0.006143881238534934,0.1267973494086763,0.0005417740150751063,0.30942890426073066,0.00023112361665483997,-0.8790140279892439,1.592329242125924,0.004432961140014125,0.04424780563011333,0.03387151136068314,0.05422147262285766,0.1336161751232594,0.002190748516322261,317.44967600809025,702.5998438020468,1494.4177818750431
17508,-0.00021433829722344465,1.81679871525922e-5,-0.6067532014785302,2.0279526249247075,0.13533961218836563,0.00014056356540473992,0.15334582697764382,3.8020804539735723e-7,0.27056597757775663,4.7126087735983965e-6,-0.16653806281625508,0.0032156645584893837,-0.001991978314728617,0.000660018167154694,0.019010672760043743,0.0004806289621734063,0.010980489575823931,2.954595027510985e-6,116.06811581988953,136.05618868519483,156.61335991648744
17509,7.01554970692033e-5,5.0807705903785874e-5,0.11600338465614354,-0.05284351674653287,0.560025484764543,8.83935709449061e-5,0.06189241237879397,9.878981597209383e-6,0.27268963712099975,0.0003565965062320418,-0.20269847374621025,0.24976001665632533,-0.003421986057508977,0.001494498077992267,0.006606758678123539,0.002644685577564218,0.17935714574242237,1.4652386905332e-6,119.21645379244814,145.374943096368,187.07580336446196
17510,0.0004925921200430889,0.00020333025322083,0.18399853843271535,0.42329354207638037,0.743587811634349,0.0018331398510310869,0.024176648842977575,7.044200365994128e-6,0.06411192704518337,3.019382278852473e-5,-0.014352617722662657,0.04073635969380615,-0.0013148069534828185,0.0001978407394981004,0.0014849655300077508,0.0008560205242576084,0.2219717668097601,2.2461285278557586e-5,142.59158461525507,173.13318320501813,188.28205844369606
17511,0.00022242271939529426,0.0008244140007879347,-0.10799049715697677,-0.5100839364888285,0.510378947368421,0.0005955004444444446,0.04629920843779311,3.862541272736387e-6,0.1525689903216741,5.561160572514705e-5,-0.5393129571800487,9.56448125879332,-0.03581135224061022,0.4303797668853763,-0.011306746840742815,0.03634881439875955,0.18788802094920518,6.094333146838504e-6,212.1442602424815,391.0373250471672,909.2750140335336
17512,0.00015974219974098576,0.0006066415710596295,0.03334572721137364,-0.7488944731291998,0.6681595567867037,0.00044749091535857164,0.03268898009145989,9.417892071099507e-6,0.14611989474559442,1.7108646971745555e-5,-0.563140300940122,18.13163007072766,-0.011877378884523759,0.15913723982585812,-0.027151178496860186,0.08564133524782969,0.20875168852131162,9.92354377536478e-6,259.55944745612055,545.1744612002052,1435.8050554481233
17513,0.000241674663109392,0.00015494629194162085,0.09174036384249773,-0.38426309236206624,0.6010138504155126,0.0010356985854108958,0.027248171958617687,1.2409657186320575e-6,0.10486184202777038,0.00011955122981015487,-0.11733171830376145,1.9401844321331585,-0.0006865184188707968,0.002454741060650819,0.006705981078487463,0.01431382040115189,0.20812596642485828,1.1043362464005883e-5,145.20474099283336,174.9385284236765,200.84750126276273
17514,-0.0007774945047772297,0.00015734047720490388,0.6428963505737139,8.248062012543294,0.5937119113573408,0.001264536329947676,0.07851428460685808,0.0006453350374019536,0.2756049893616841,0.0030580577799753377,-0.9618089607428792,0.506578845804823,-0.035484011075655325,0.020082871166628526,-0.0013966615637807766,0.04402721340159572,0.18836405872840725,0.00011672717315608757,393.22966663779926,904.0137988074887,2691.185058074383
17515,-6.906736135069082e-5,0.00011129772245747668,0.32570242364310215,1.1612265955995795,0.5500808864265928,7.596455032317641e-5,0.07543879284024828,2.7904562643200264e-6,0.2739597110188247,1.8744016477719842e-5,-0.4538449601707785,1.608936189629934,0.016786998653746565,0.022559972460683718,0.042884638598098455,0.026179255460252304,0.17071756101791755,2.5743550766042834e-6,185.51279076132317,321.99025090259914,484.7802962963067
17516,7.157282795709326e-5,0.00030309080048681475,0.048452398463974485,-0.4664272502191795,0.7286216066481994,0.00046081653185595567,0.02764477662125283,2.3905031983315776e-6,0.08222503739259407,4.128487654759731e-5,-0.37437390886650834,5.306295988854264,-0.03832661717930984,0.06371594971681165,0.018174485619734577,0.14787611811278412,0.2184309784983827,6.232213690995675e-6,153.35119471873668,254.41783068372814,408.4540081081675
17517,0.0010390939050871181,0.0010748752327215275,0.18912069100741954,1.5143115878103446,0.0004332409972299169,1.9445114188981222e-5,0.14604597430977592,6.80561585147741e-5,0.28329501509336513,0.0019591628375872604,-0.026582086620705533,0.24930388001084725,0.004342505474842531,0.002430014041026074,-0.0009160109971654291,0.0003340729528292724,5.57251937235916e-5,3.901456947629898e-8,127.31876861090826,144.4365604957438,160.1456444027903
17518,-5.1509174510879174e-5,2.191200927225139e-5,-0.7033369711376032,2.9397996829326525,0.6315379501385043,8.592583564173608e-6,0.12794915951174188,6.143249400991032e-7,0.30944054374795166,9.418396565912861e-6,-0.04624574178237995,0.013012662683386073,-0.0072319408961418405,0.0006267255581522955,0.009723089691013305,0.0009245396192368631,0.177414246553899,1.3186652018564824e-7,101.25418312867903,105.38079388932258,108.54169427012309
17519,4.037771025682024e-5,3.453177767855447e-5,-0.5566042156543047,4.743309258753672,0.5703180055401662,0.0046548919248999695,0.06726894089144389,9.717004047618955e-6,0.3179953282845062,0.014852459450330131,-0.29915634812825653,0.08868342494258254,-0.00371564412167987,0.003982925874374634,0.00685438173938474,0.002422583182849304,0.18720125820083042,4.116206532865304e-5,131.48395301975555,283.19350869110275,339.0371181426927
17520,-0.00035229094761607307,9.989691722043584e-5,-0.24335929732695344,1.4335274439869963,0.6069285318559557,0.0015925887670052315,0.14046944732775168,8.988417139450312e-5,0.3675884771264582,0.0004859278339158523,-0.8040408534302096,0.2933439886268741,0.03846859430701084,0.01308060887922658,0.03818619130799223,0.01995515835399967,0.1621466535057866,7.320758652416683e-5,414.48282680620594,930.8919735992208,2066.3198049034636
17521,0.00018594842443682213,0.0005034948113261505,0.13595311444047342,0.9149214136421437,7.42382271468144e-5,7.886955986457368e-7,0.11937191651975203,2.284253560189856e-5,0.2373504141915046,4.003076467327345e-5,-0.023147611696221374,0.004721242542478556,-0.004043915770273647,0.00024056871771055123,0.0011541750793663988,0.00010607515342393694,1.4633282783911631e-6,3.192688694985619e-10,104.55543145495714,108.44872478105559,111.24498839399857
17522,0.002055583628386002,0.0013844666889695806,0.3120462944556576,3.1587157869223565,0.020526315789473688,0.0009331431111111112,0.24030629539526477,0.0022610509689746827,0.36232357636582146,0.001951961051534907,-0.45731765058266904,6.408039762459671,0.0032518674311060023,0.0062160385162450356,0.05245076875343694,0.19220377789702714,0.001108113234796294,2.61819906791971e-6,188.48417175016257,342.2022849066459,537.9492504083844
17523,-0.000295949709454762,0.00026495326342269117,0.003669389471000546,-0.23421014625513692,0.15321440443213294,0.0014289486808248693,0.07869106191631293,9.021044741538372e-5,0.1639909880504596,0.00031602557969269586,-0.19274838669512365,0.33503774125269525,-0.018746999545447438,0.0037098095456194933,-0.011080323147959334,0.0017673009518068045,0.00816200281661394,1.6518354561903007e-5,123.5082743077903,151.03310479813138,182.54668498298668
17524,-4.021507905690978e-5,8.413130434814545e-5,-0.18990107256465658,0.8590670137980769,0.5447146814404433,2.8036700523237926e-5,0.0764323724349252,8.8770524001863e-6,0.2871133079076012,6.460594294186712e-5,-0.29078434714286155,0.3536084255054874,-0.03327065261807782,0.014250925719806287,0.032980601796898615,0.026826141161702472,0.16918126399269212,8.108167770862713e-6,122.29123487109436,166.85831211157,236.95697448287166
17525,-0.0009098136211578609,0.00019192475894529656,-0.031253621948536335,0.5008002614056806,0.26690747922437674,0.002124803971683595,0.18271433909290863,0.00010841102637518103,0.28987239287386996,0.00016889286462399495,-0.40094761244304217,0.8142743175919196,0.012962985752541638,0.0044325432026524935,-0.003162104006616109,0.007010868678616954,0.03861798832103297,0.00018413714779533585,146.5532193824845,245.71180326937596,386.7688683237875
17526,0.00032088257461005716,0.0006217724843101093,0.22360033787918707,0.31730606663184746,0.006536288088642659,0.00022698448507232997,0.15103675030649796,3.0164956151719403e-5,0.2433816431349523,7.939355895841241e-5,-0.16926790066540842,0.19792830235510853,-0.018938083263492746,0.004555610420095299,0.012516710064705837,0.0035456259284221345,0.00040900337794086346,6.731023807603469e-7,120.81045157433448,153.9102213587586,183.37450730577913
17527,-7.910694490111574e-5,8.114045736778256e-5,-0.12481774302680237,3.914487463644626,0.7099346260387813,0.00018338460326254233,0.02826408384919364,9.2666652315142e-6,0.09538421305428728,1.3447268602105244e-5,-0.37807108839841774,0.6813829113017007,-0.022629813537046604,0.008265304672976023,0.0077991884836310045,0.01498186006346105,0.21796901985572506,5.746507192002925e-6,164.81282529918383,271.07430117645987,363.3956152108547
17528,-3.2518255292794104e-6,0.00021422738341090854,0.013370612227090798,0.6006301527664757,0.5758260387811635,0.0005375300978762697,0.08735150042347488,2.9842486811119044e-5,0.3213805430625044,5.32876243838685e-5,-0.1808075299487495,0.45512532983639825,-0.0017846667838609922,0.0013148946457451852,0.0034461336973841262,0.00453769623428292,0.1721133006774256,1.602979980244836e-6,143.34286322031176,196.0265450691431,233.20061551226553
17529,-0.0005176216355261753,0.00016645180552998104,0.0998274292095392,2.639407456207996,0.4681905817174515,0.00032850579993844257,0.0525389057586012,4.683434024839834e-5,0.11878402821684804,0.00015856129504308912,-0.7113150481278775,0.6516898517379729,-0.07072665019774706,0.037936384034710995,0.1032939562070257,0.12342105251080751,0.18790371996292485,9.491076727050261e-5,145.2217549552076,323.1733986782872,595.2635970858846
17530,5.024326742394282e-5,0.0008137980828153521,0.29955776410559387,0.734952195498562,0.6283146814404431,0.0004847415894121266,0.03238383713186419,1.672629764572327e-5,0.13976315417637666,0.0001236146966815165,-0.7791495883753148,7.828834113866628,-0.045986654924483776,0.13399886952130963,0.053476990312424366,0.3527310013190216,0.20691389267121757,1.0911100173775458e-5,338.72013588322966,806.9217048892881,1209.160383295643
17531,9.955926510504143e-5,0.0009196492889683858,-0.30907235932665605,-0.4545794784655235,0.7586249307479227,0.0005368474878424133,0.023265950754792587,4.685984874704915e-6,0.07946065579797978,2.163086623211253e-6,-0.47183804024137643,39.568582917946934,0.050100959704625,0.5497633766270738,-0.01532882757377712,0.1302964389042004,0.22325732137027438,7.9842443254573e-6,250.47209032830276,474.12787529430597,1909.9684344670159
17532,-0.0003304968454665148,0.00022589842260293942,0.08435552146045652,2.1430689007375054,0.48845207756232684,0.0003219959470606339,0.05231696362625971,3.817164647245266e-5,0.176366716043702,0.00046768034452468357,-0.6725940063799017,1.02584442156131,-0.040716928965513176,0.04005582808568371,0.0310554314307413,0.04870344933121417,0.1809994911192044,1.5830294557413684e-5,245.6104762278208,456.0680625760214,885.5750737271852
17533,-0.0003328514255469532,0.00017378877994644773,0.40167618428617047,0.7905271434449741,0.6109961218836565,0.0005050356515851032,0.06142555839581714,4.173963793377319e-6,0.178309730985921,4.218463560578264e-5,-0.8407999451956616,1.807275540710932,-0.10870191127934478,0.10136782115142348,0.0001664455053840221,0.015168681587781585,0.19464374609530743,4.048189029564457e-6,241.63021532748581,490.91065872092986,1267.9995209481317
17534,0.0005868156770112538,0.00012151624168064824,0.33750404819444085,5.978561543428027,0.11453407202216066,0.0065706028636503535,0.27629246958295617,0.002927868372742772,0.39384428980233915,0.005187845276863278,-0.44894550260962857,0.517759819194507,-0.03389212039034841,0.016594886273419863,0.05233605246967894,0.02089436122374062,0.005536252226271221,2.027104704993083e-5,165.1274451681524,230.68022633168812,304.50071961520615
17535,-0.0002498905485715126,0.00040052515542726073,-3.1535304997008846,21.60011388560734,0.5214238227146815,0.009320712430901814,0.0748041597206513,0.00024172605746801952,0.9949788313145876,3.4985735771142262e-6,-0.7653931664619867,1.3906900721173368,-0.01283720539408397,0.018946463849946586,0.053245858171446,0.0861017766530381,0.18204928391183464,0.00010632095476404865,227.54991737640276,953.1885993153595,1394.6664894443638
