sim_nr,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,acorr_GDP,dQ_1st,dQ_2nd,U_1st,U_2nd,LIS_1st,dI_1st,dI_2nd,dC_1st,dC_2nd,GINI_I_1st,GINI_I_2nd,GINI_W_1st,GINI_W_2nd,bankr_1st,bankr_2nd,LP_g_1st,EE_g_1st,EF_g_1st,em2030,em2040,em2050
2180,0.5774028831311404,5.551492227660627,-0.12100466668807822,0.45625361387056707,0.41325732111421604,0.0046368761645696616,0.00039614773560842456,0.034817728531855954,0.0009404307959372113,0.7189664221719823,15.212387612000478,5876.296551469567,-0.008193349314385208,0.4996167889073541,0.13006236186114953,0.00015261087045885397,0.16461122259043803,5.5277342681500214e-5,0.0007202216066481995,4.6187288396429645e-6,-0.1588650514785571,-0.020175620742855508,0.015305862205238725,87.8475303694173,83.99875408640257,96.63248112407759
2181,0.5519295786515804,3.365097449977077,-0.04509904198302944,0.09278692792516363,0.12206518474630237,0.00396132479866285,0.00012124116932844558,0.00897174515235457,0.00038184019944598343,0.7098359947688601,7.441340451970575,1794.658539834315,-0.02809492808175127,1.3207012185181954,0.16546861535527743,9.4280800133732e-5,0.17561542134152666,7.529049844183729e-5,0.05704986149584487,0.001186897506925208,-0.13808390493532713,0.007061312289608117,-0.004471571152581201,88.81730898057668,91.80509074741946,106.58390252315141
2182,0.29453568395578456,5.47901852723477,-0.022680883772038536,-0.039690629226984964,0.21315128274157474,0.003517003596606918,0.00025241378727766786,0.12019612188365651,0.0015117920960295472,0.6342575409133507,19.05099455307525,5263.244444923618,0.0498020628815434,0.6342435535606629,0.06617414512691552,0.00035546368231228863,0.8787148012012832,0.00019997977896432485,0.0002493074792243767,1.1876731301939056e-6,-0.12745111078072532,-0.030092651944555824,0.03578920711287647,103.57206993243123,96.96588397645236,98.63932563553757
2183,0.07467398457711497,14.710670211799801,0.17001574380294537,-0.2529246219985981,0.11098174798793496,0.0006065297005285257,0.0011521237908482254,0.06964542936288087,0.001829072152662358,0.7513392318553312,103.39135008522433,244229.29074813257,-0.025270853679190085,1.5250517193142588,0.1333635504294011,0.00015463023151638866,0.15834026545206248,9.041469182841767e-5,0.003559556786703601,1.8613804247460752e-5,-0.010406169308318232,-0.009631128872409895,0.009859430327616981,104.41564789297057,112.49494098363414,104.46503351356179
2184,1.2051618393780352,9.163632469628586,2.9587937780146314,15.888770180862984,0.671801898531468,0.009725471492905648,0.0007799513869170944,0.06737285318559556,0.01074981448322561,0.6289191385110218,2.0016741500595487,525.5929612781373,-0.21105393104423212,0.3087987349249901,0.03941948617689988,0.0005476632108577006,0.875139294269331,0.0016038315347139049,0.000110803324099723,8.210218528778089e-7,-0.1811250624274514,-0.017499740008589067,0.021021677849189555,166.76597761010416,165.36550627065034,197.9298299985987
2185,0.46104472886534115,3.6842019583596124,0.8885146227846609,4.056427076804545,0.6232701304584516,0.002285183999120498,0.0002820057854216819,0.02466814404432133,0.0003532390101569715,0.45955680910942126,12.050994697334227,4762.505164818391,-0.06059526115489353,0.45716686785924565,0.022991369105929055,1.755095276892862e-5,0.7029693106541756,0.0061029164185913915,9.695290858725763e-5,4.766851338873496e-7,-0.04629015451074266,-0.01852164390497243,0.01767890409334343,78.30792874895478,64.46118604827018,65.16764071344848
2186,0.3455800073936098,1.1637129785994564,0.009538860991705998,1.7208278706694617,0.46178253505480144,0.0025515041341693033,0.0001660420296102062,0.029598891966759,8.317644321329639e-5,0.5891913791362936,12.95766412382598,7892.153733045493,-0.009052011045481161,0.0636733082774328,0.19909607018471054,0.00025523338491752955,0.27915891787423847,0.00022370128121995724,0.00020775623268698065,9.983841181902125e-7,-0.07471006372125097,-0.03287582298054737,0.03459961526460501,73.3245756344229,57.51999709993055,57.551476930128004
2187,0.5203113570974317,1.5449849611277733,-0.14706514662048922,-0.49928508677032424,0.32618808160541374,0.005381327721946112,0.00012124129741172846,0.04146481994459834,0.00011090612003693445,0.6080113778914418,3.9205989985513927,966.3485837523201,0.00663655087039561,0.253785011159723,0.19331017224104613,1.2201952795928666e-5,0.19796913250613876,1.5817150403943187e-5,0.0,0.0,-0.17977894069708159,-0.04182495839109675,0.046133652180401954,102.52388538571782,103.07133910465942,114.56861147353668
2188,0.6072162135073017,2.527951055118476,-0.061294440522554165,-0.10793787921567777,0.388885778591094,0.006203935581312824,0.00016033016428190132,0.04414847645429363,0.00033177256017236073,0.7371503600723707,2.1855886462994456,528.2001896566456,-0.012862350156661468,0.2573276140455852,0.17794901568403482,4.214674069822177e-5,0.21794700271794457,4.777836500332973e-5,0.00022160664819944603,1.0618651892890123e-6,-0.20553384084635368,-0.0005504587924983603,0.014222350726231807,126.91767507775714,200.69515650629663,238.39151540291306
2189,0.3165196651944824,6.791215377343057,-2.2921887277504682,14.90964962798758,0.5678855038653575,0.0007811345791939292,0.0017692209766220943,0.34612077562326865,0.014955331594952295,0.42757651064987784,262.6201628358042,915212.2379563669,-0.07968677592307505,1.6382562988585043,0.01547781498678358,0.00012813747193995962,0.8569165714189297,0.024935887375572726,0.0004986149584487534,2.528470298553401e-6,-0.021820858394260147,-0.013017171224137224,0.012770068080544764,53.01667361739065,47.90948703057157,52.226546994599516
2190,0.07327177585471596,2.21422995987544,-0.2620255737500125,0.9166010198394288,0.5928430944719878,0.001121989635873485,0.0003675147286905387,0.047772853185595585,0.0003882767054478302,0.6116617011821617,11.20565833261508,3403.5622652808956,0.0011103412529112437,0.18033832985260523,0.06364133545172818,7.518637048225471e-6,0.8668337061805742,1.984691964586169e-5,4.155124653739612e-5,2.0660203139427517e-7,-0.027129629556374383,-0.01753229455188035,0.017123182234115988,104.63475790345097,104.47314935094113,101.42345676724291
2191,0.6474423762540995,5.849471423790931,1.1121315462813597,6.367331430044501,0.1454536660684567,0.003823221241602986,0.00014537580738522568,0.0016033240997229917,0.00012229287780855667,0.6061609640240381,8.042152681374093,2538.439592587427,0.051161462107324744,1.0734635850857046,0.0778091710506457,8.118225809638523e-5,0.18423411613271695,0.000630821751069163,0.08813019390581717,0.0026564246691289633,-0.013231873537098227,0.005895070077798762,-0.010245169818211,83.90220584989183,79.08393123769731,90.10400951971727
