p_f,α_cp,κ_upper,μ1,ψ_E,ψ_P,ψ_Q,ω,ϵ,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,Gini_I_1st,Gini_I_2nd,Gini_W_1st,Gini_W_2nd,U_1st,U_2nd,FGT_1st,FGT_2nd,carbon_conc
0.9078751968566987,0.5458535163571824,0.01089571583974027,0.38500069623353733,0.08035727847482226,0.45476036375909773,0.04373299058327173,0.050302773614184976,0.0629297147147211,-0.004916153888073896,0.011992044571110212,-20.25586798188726,422.9941544995549,0.0377854942041065,4.582457249026069e-5,0.17252005222245786,0.0014110879261024925,0.5964817391304347,0.005228848380411101,0.19793250394786482,0.00013580502762324664,9.824396426211503e11
0.7176191110058651,0.45654328275267886,0.0488290714901053,0.13919996805187493,0.019232574165534106,0.16350242688225047,0.2403459738715415,0.32318317036919625,0.013242736780748277,-0.0002107317293572821,0.008655777437002266,-2.7164162742546267,184.1833679576003,0.030106272150763738,0.00017182061726864697,0.09623316769622783,0.00023027526864623587,0.7988782608695653,0.00220413015818888,0.22318129586286758,0.0001385067863886019,2.0162949177633387e13
0.038883614169558746,0.6292641538310932,0.04961422675249586,0.03650136434160644,0.05508535659786913,0.2121540254525508,0.37736374296118874,0.8378190456794691,0.0012256065702331907,0.0008183808265895636,0.0002830141447950081,4.596199565405453,34.31284933867566,0.14669755421089897,0.00023805606346203145,0.306078287845378,0.0012464198679421625,0.628428695652174,0.0027590632270531393,0.16506285285431618,0.00017656395965963602,2.467311638064223e13
0.16851968907953624,0.7245485195166337,0.044123035193727844,0.26809413983911834,0.04279356855818061,0.1489158334066134,0.0505228746836964,0.06816622826259892,0.03274058916890405,0.0012205922995030835,0.002147957084806264,5.774348643423432,71.56542982107665,0.06324730824288802,0.0007800598690982762,0.1628700230660376,0.004916035497559498,0.4955339130434782,0.001971719195983707,0.1707612655648877,0.0013043970353085513,2.2896960113667215e13
0.7591147526750794,0.5798687538921328,0.03856898568022188,0.3117148772714144,0.03660683743154402,0.47229195755914005,0.10010554050374769,0.04286986656931551,0.09266727173364776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.607200666737111,0.5841071535555664,0.030787895977960812,0.2905244603945492,0.0262736958337356,0.09142085889848538,0.306987659112095,0.6439145776009123,0.008940950251467383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7655062279948556,0.6311166399803778,0.04292441007916056,0.06909102572136598,0.04025467832287269,0.24762743091592912,0.03156779871333992,0.891732903704669,0.022320727509323988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.49069053642851407,0.9977766163020438,0.04691285386999091,0.021795529005135907,0.09766262424026707,0.3641147327524019,0.10844673000320013,0.12773542746295413,0.04075099976046278,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.22789263988739072,0.6729286255162676,0.022616630519214892,0.31106032976836984,0.06715866181079898,0.09007075685695681,0.14939023706329507,0.7073317531142841,0.05751606935224066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4427799066645384,0.42528162400365366,0.002637152390369243,0.22664304304371174,0.09860658828786022,0.002694734608039191,0.24926929453081967,0.8588208024794914,0.07661494327862782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9797999528900753,0.6677541780327451,0.036011199247068935,0.3451533335433517,0.054465146088644646,0.3180425070335379,0.07137586345539526,0.3656493870032243,0.028662933237267818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4061730418652527,0.740052747372469,0.001262927457239876,0.23439217765029224,0.029259119822537417,0.43419419682651994,0.18329318180033174,0.18821507391203843,0.037947164126022476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9610134357385408,0.47738203058634,0.04928596485773255,0.251827659788398,0.02309698234708301,0.4650783877429448,0.42031157751563714,0.5935037049199193,0.06598726155094992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
