p_f,α_cp,κ_upper,μ1,ψ_E,ψ_P,ψ_Q,ω,ϵ,GDP_1st,GDP_2nd,GDP_3rd,GDP_4th,Gini_I_1st,Gini_I_2nd,Gini_W_1st,Gini_W_2nd,U_1st,U_2nd,FGT_1st,FGT_2nd
0.786678049291399,0.49998954364061965,0.015811443281386922,0.21547791962144408,0.07215990800174042,0.07191125158255104,0.06352404677240069,0.7226815068795561,0.07726952319624421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.05382376440658473,0.8524123121141147,0.032450854584456866,0.16284562991452609,0.05357463136902904,0.3612007295863792,0.23002358850415233,0.4759380756088197,0.05116009462260306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4513526881741908,0.6394906818601968,0.022807364043350466,0.023137863510627656,0.06836231503200992,0.29589311088174186,0.1514944344814674,0.5070945812771084,0.014387701700794828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.13139364824600763,0.7562236532548272,0.005348567350919418,0.2513526670802098,0.03688611415908171,0.21286278915336646,0.1291692126382532,0.6338187813791463,0.003973509713453675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5115208744192181,0.6783321011732333,0.026527610847905437,0.04798815109028474,0.08709662461662532,0.13987185388240336,0.49419534191793923,0.9307008173081306,0.04718563026822259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.34296148854812086,0.9311556618175059,0.046970141984608076,0.34688596905036967,0.029573959757794713,0.4742334970030303,0.38151499015690116,0.03205385298650015,0.06602787068059639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9479882726461806,0.45690504092876677,0.012145716949388582,0.36586793719175414,0.09899041216607152,0.19608482915957645,0.28519850916144057,0.1789204787169832,0.03672060838957191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8965443809088798,0.7700696806264008,0.04048987782176926,0.3002555997893732,0.04060198226483541,0.018725934810745117,0.04409679358883977,0.8745417970114066,0.021839824460696364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.6397135488104154,0.5675071030858676,0.037291084502890814,0.12261980253855063,0.010066275748653757,0.41770271680978316,0.4236352507301334,0.27255773792666965,0.08855602825490527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.21178107886469885,0.9592449478158361,0.0017335301033110607,0.08276045531086247,0.0007442938722566762,0.3450390285512491,0.34432291783318,0.3794947292317571,0.09126339551706442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
