GDP,GDP_I,GDP_cp,GDP_kp,CPI,M,M_hh,M_cp,M_kp,M_gov,Deb_tot,Deb_cp,Deb_kp,UR,Exp_UB,s_avg,s_std,w_avg,w_std,wr_avg,wr_std,ws_avg,ws_std,I_avg,I_std,dL_avg,dL_std,dL_cp_avg,dL_kp_avg,EI_avg,RS_avg,avg_pi,avg_A,avg_B,avg_Q_bp,avg_Q_lp,avg_Q_kp
274256.7051729032,246750.0,24629.63850521777,2877.066667685416,100.0,351731.9740881443,198063.98740816634,51236.01259183381,53596.33333460677,48835.64075353744,1692.9879369217297,1692.9879369217297,0.0,0.0444620881302104,7840.0,-0.08289266065958419,0.05679967817950147,1.0003594871794872,0.0023000048732740334,1.018544,0.005197198124695556,1.0,0.0,98.7,6.22362381554018,13.11141839177825,193.84072168189476,0.0,65.55709195889125,109.99999999999979,26.8125,1.0000000000000002,1.0090747333493484,0.9982177815618978,1090.0000000000002,1091.0000000000002,361.34999999999934
258150.1981266611,244680.64,11470.790319597794,1998.7678070632987,99.94258697055169,374099.4532911973,159745.1618373722,67682.42028325878,56094.79309343589,90577.07807713044,2562.699935619935,2562.699935619935,0.0,0.07205414012738853,12670.0,0.02631128879624606,0.10780478861096916,1.0005667487179488,0.0032691343368115096,1.035443893333332,0.012865891844547039,1.0002613333333334,0.0017599398537020581,97.87225600000001,7.797325376285992,-73.37128204307774,231.48695215168846,-55.5,-144.85641021538868,15.474999999999936,68.6125,1.0005841341231154,1.0156610369823011,1.0028682671167326,1058.520097197529,1072.415912295439,254.29999999999978
256812.22082776172,232350.36,22568.469596430743,1893.3912313309927,99.84882083645505,398195.3795905763,138330.2467898466,97751.99633142818,58461.532132599634,103651.60433670186,1527.0583418692956,1527.0583418692956,0.0,0.23592814371257484,41370.0,0.08232787057523079,0.09623532455037782,1.0006155032967032,0.003341549931075732,1.0428483210666661,0.027234933225578573,1.0003864853333333,0.0024531564379046203,92.94014399999999,12.76987779623738,-205.93934161324793,290.2938785912435,-240.5,-67.69670806623955,1.3749999999999887,75.35,1.0017103866434192,1.0185365806571325,1.0062823759120576,886.3390378365307,859.454327865097,242.55
257536.95394173087,225956.18432,28784.49627937858,2796.273342352273,99.71282001371901,430550.26739929966,132375.8633244356,134956.0566694205,61956.87381053997,101261.47359490363,1213.1039199777417,1213.1039199777417,0.0,0.3229665071770335,56700.0,0.12227679965070753,0.08013187915518251,1.0010771720032159,0.0066143246136672875,1.0459721350826676,0.039618217203908845,1.0004554026666665,0.0027765889982737098,90.382473728,14.135604286021293,-109.4074116572649,412.94881506039934,-192.5,222.96294171367538,90.37446996358766,73.975,1.0031317203351173,1.0213273079938892,1.0093968868183927,750.4453210026123,722.5898003466449,359.909314727637
253898.75879578607,224934.5601984,25783.24192766676,3180.956669719305,99.54829048887349,462494.9750687049,136688.8694734779,165104.1421027132,65933.06964768912,94768.89384482468,514.9961936561749,514.9961936561749,0.0,0.3387803905938621,59500.0,0.1369110391995593,0.08638500770339796,1.0018410452842694,0.009060236151811505,1.0511858964236795,0.0494045160296491,1.0008021863424001,0.004328027095414271,89.97382407936,14.383075850333078,-25.72257981089528,464.7802415859989,-100.5,273.38710094552357,125.44194241177118,83.6,1.0048937849814248,1.0342262389016075,1.0140183807485128,696.0496287495713,698.8277970328342,411.6131524949745
251568.50606679905,225857.06162722135,22413.840514137708,3297.6039254399993,99.22290957341677,487860.37413733033,144029.10087106773,184295.1451368315,70055.0745544891,89481.05357494201,682.6598270896017,682.6598270896017,0.0,0.32854864433811803,57680.0,0.12877311377884637,0.10821334977882181,1.0029091649555617,0.012323276969287734,1.0565334913876905,0.05822593515260841,1.0013797041809067,0.006314591881742971,90.34282465088855,14.331987785043832,-40.20029600537233,396.9277063156067,-62.0,46.99851997313834,86.3493333055972,89.65,1.0082591128539673,1.0438831055322282,1.0192392133325285,689.2747652121775,734.3763942400157,427.7229016339575
246946.20709500634,225827.3252222144,18782.955139065863,2335.9267337260744,98.80075149296404,503909.9268310471,150054.10976389883,197150.04524988148,72974.9829716467,83730.78884562005,289.89258644482834,289.89258644482834,0.0,0.32455089820359284,56910.0,0.11134783564935337,0.12557003466930317,1.0029304725862598,0.012531701761005827,1.0641270998790113,0.06638691393488233,1.0021054009722368,0.008485185467770938,90.33093008888575,14.12922322245382,-35.69891761261965,391.493353150869,-47.0,9.50541193690172,75.50084848882584,67.925,1.0126665156929464,1.0502940187111098,1.021690296896078,752.7013720910538,729.93592554741,302.14355268689576
251753.2383807118,227751.61038976983,21199.494370747634,2802.1336201942922,98.52009537541898,523092.15293600294,153063.40522252326,211028.96405734378,76477.64999688955,82522.13365924638,345.248632732441,345.248632732441,0.0,0.30434782608695654,53410.0,0.10005749494639328,0.13635667615707114,1.004001969288873,0.01825821078568237,1.070382047388961,0.07435234910775933,1.002262327816675,0.008852655824209472,91.10064415590793,14.089117714365095,-21.475238235285975,348.11185563245783,-47.5,82.6238088235701,81.84532447133707,77.9625,1.0157849312503056,1.0546980124376228,1.0217023523962516,733.4420401401899,772.0123499635433,364.1755141648867
252239.5944296901,229061.43287710595,19876.066728410606,3302.094824173553,98.17295874535347,543097.425550914,154876.27573423725,222478.84955013636,80605.2685271065,85137.03173943383,345.3165894763448,345.3165894763448,0.0,0.2834331337325349,49700.0,0.0970267233272697,0.13148588817741488,1.0040953726079163,0.018297132122917132,1.0785489831404302,0.08160695032351642,1.0031029575911923,0.011325267615945067,91.62457315084238,13.641106747167404,-31.484111750952405,318.56370082644827,-34.5,-19.42055875476205,71.20172023430204,77.825,1.0196003988335212,1.0570809246799826,1.0234443394572252,759.2367164678489,793.1079369052512,431.72827590082744
253046.88617488506,229859.0636092194,20357.224628273256,2830.5979373924124,97.69633351984635,559034.0496531748,155376.79397114503,231061.25175993945,84143.51594884702,88452.48797324338,207.47967556142493,207.47967556142493,0.0,0.2804780876494024,49280.0,0.09326728863493275,0.13795202608096585,1.0058290658343163,0.023380558526932,1.0848117127580548,0.08875714595124344,1.0034483051421876,0.011770775387534871,91.94362544368775,13.958401108569849,-40.02099736046665,362.7006662950871,-47.0,-12.104986802333242,93.19527093505764,64.2125,1.0247936314282138,1.065736171706574,1.0362370524517455,787.1317809980827,785.7931836538842,376.2602848089654
