all_S_kp,all_profit_kp,all_f_kp,all_L_kp
1491.1572279472912,1116.9723257834682,0.17875089734386218,1922.3141146548185
269.33360844455956,-152.14024846295482,0.00574300071787509,396.3420790523005
620.5846151934206,422.43638488068495,0.04953338119167265,979.3738024085163
150.95945721793927,80.87564309689121,0.00574300071787509,275.7947125118624
1863.6384624630837,1079.6530322905971,0.03158650394831299,1008.5414032466388
1104.031819604904,826.1351432150159,0.07394113424264179,1041.0233845660844
1271.4465996270555,1094.3912357777428,0.10193826274228285,1238.233720481024
475.75605091594235,418.2862600003339,0.015793251974156496,736.5322365149424
1563.6269319434195,1054.0076017070144,0.04809763101220388,1072.9467085501744
0.0,-163.58592073967972,0.0,697.2762859554434
395.38044220658264,338.8386698478174,0.020100502512562814,508.4714014509961
1795.0150172885803,1497.7713971498672,0.09475951184493898,1267.5817264459943
690.7104141932698,521.597281051327,0.0624551328068916,966.751730572083
159.47296675988414,105.60708219160581,0.008614501076812634,267.92182352203037
0.0,-110.91179050000001,0.0,807.097733595323
496.5918389548797,352.6152494286347,0.03158650394831299,566.0141012757151
3943.086759330695,1756.8992038904312,0.22397702799712849,1913.3125606074323
104.0729718126312,-0.5351845662210255,0.00574300071787509,959.9910880100826
0.0,0.0,0.0,0.0
641.9839638411469,307.2821744295603,0.0416367552045944,433.7894829296928
