timestamp,hh_id,all_I,C_actual,all_w,all_labor,all_capital,all_UB_I,all_socben_I,all_W,real_I,all_C
660,980,291.73811585457855,291.73650477195105,2.917903005409862,218.84272540573966,0.3080138133959379,0.0,72.58737663544298,1.4660125867935108,253.175061351957,291.73650477195093
660,2252,399.5174520705814,399.74743536190164,2.6264537358791564,196.98403019093672,107.46346300854208,0.0,95.06995887110256,510.68754711923674,380.1581902225983,400.59139229170063
660,719,113.1941798309398,114.07700442373398,0.7621173658024499,57.158802435183745,9.093806618276812,0.0,46.94157077747925,42.35219770563906,104.21987159252797,114.19331755444232
660,583,114.58753915788466,113.25038675850244,0.7861177464438281,58.958830983287115,8.754089133714858,0.0,46.874619040882685,42.95704325322497,104.97147024207693,113.25038675850244
660,1660,266.0758085352897,370.08805484449294,3.244240693230195,0.0,127.33751144505462,35.0,103.73829709023506,501.39321015707435,245.71092910379394,370.3795376256659
660,390,155.4447338067931,155.59864021738866,1.324131314343886,99.30984857579145,2.689485056608738,0.0,53.4454001743929,12.63281220733515,136.32082262042047,155.61409349286959
660,2217,126.32528303749513,130.31232074573737,0.53045,39.78375,33.0145648165303,0.0,53.52696822096483,152.97533304934396,109.17121640715827,130.31232074573734
660,1198,348.06316103426616,359.6775338092968,2.1826823022428434,163.70117266821325,95.0762379215324,0.0,89.2857504445205,440.4101136844711,321.7115292505909,360.03944137219537
660,2049,184.31896300882562,188.30221641133136,1.0711091269999267,80.3331845249945,40.444222878425755,0.0,63.54155560540538,188.30221641133159,167.8267542095666,188.3022164113314
660,1512,303.0052516294263,306.5544028415157,2.885780840857904,216.43356306434282,11.285132654916204,0.0,75.28655591016727,50.10417378774804,277.18373732948226,306.7263759011668
660,2459,113.96394529266843,114.09870657126902,0.8516211929733388,63.87158947300041,3.9464074965771014,0.0,46.14594832309092,18.627790343103698,99.1586385802439,114.14478734636054
660,847,80.3095853545137,80.59765471919339,0.5627544050000001,0.0,5.863106763681621,35.0,39.446478590832086,27.587116715965564,76.28550621691373,80.5976547191934
660,726,225.49981055413204,233.63065341646455,1.0194525170850568,76.45893878137926,75.50516340760996,0.0,73.53570836514284,350.8461577057139,216.12578876665026,233.7907244488712
660,2461,117.21314667996376,120.08604892099974,0.6784735340873265,50.88551505654948,17.09630803535638,0.0,49.23132358805789,78.4087095368027,106.90764761195844,120.08932886697046
660,1105,232.77064642916002,237.6761290336999,1.4712303953749766,110.34227965312323,51.0367663224679,0.0,71.3916004535689,237.7405096202155,207.28619477845433,237.7083193269576
660,1289,108.01218440614078,107.44919537746603,0.8474899572621788,63.561746794663414,0.23179741992092856,0.0,44.21864019155643,1.6650321047677465,94.99548678244294,107.47751407000018
660,822,426.20236229915145,432.7546809817376,2.9962921225772297,224.72190919329222,104.02128969687584,0.0,97.4591634089834,487.99995940493875,368.11701024684425,432.75468098173764
660,2497,91.78309004816158,91.4085035520041,0.606570152558238,45.49276144186785,4.579639046312382,0.0,41.710689559981354,22.147734375522703,79.59053227032429,91.4127715316591
660,504,144.70312912150638,149.8056502304142,0.5289891407,39.674185552500006,46.42016171378274,0.0,58.60878185522362,215.59457649141206,133.14238463584988,149.81409295594864
660,1283,259.6807617698538,265.1366309840036,1.7464585727777224,130.98439295832918,53.666292876319574,0.0,75.03007593520505,249.69177869367337,224.64736765645617,265.13663098400355
660,1103,170.67758129367917,172.88987400513423,1.4439682254059953,108.29761690544966,5.9068952125721665,0.0,56.473069175657336,25.871078416845762,153.69090039915537,172.92202860712268
660,593,369.30693840582006,369.7001533389493,2.8432375983011973,213.2428198725898,67.71231379136685,0.0,88.35180474186343,321.533951492914,337.6403733462264,369.81024608504674
660,2320,93.21464665910037,93.49641661970387,0.57963703715,43.47277778625,7.167344170756024,0.0,42.57452470209435,33.79420042790048,84.13553455229844,93.55860352998914
660,1976,217.9639300019492,221.01040777534388,1.904622795000004,142.8467096250003,10.857988269425373,0.0,64.25923210752352,48.576058822142386,195.82685833044607,221.06090260993867
660,1041,258.12731285081776,261.72377993918286,1.8188882320593014,136.4166174044476,47.65046069439688,0.0,74.06023475197327,222.94988661485957,220.89582754704597,261.7237799391828
660,2000,282.64860378171784,289.49415126609136,2.270662505897809,170.29968794233568,36.43992702414496,0.0,75.90898881523717,166.40214994035176,278.4985337065844,289.49415126609136
660,1952,228.4882415634409,231.57742660389732,1.591778587043907,119.38339402829303,39.73195311379433,0.0,69.37289442135355,185.80991419733994,196.83927527113522,231.6499741446866
660,2448,142.38771325452242,143.40240903879544,1.1514219740098524,86.35664805073893,4.522345325960261,0.0,51.508719877823246,20.486058434113573,127.18081664303075,143.40240903879547
660,700,258.55595151410984,261.8987950905669,2.4070696555058078,180.53022416293558,8.572584610031655,0.0,69.45314274114261,37.4141135843667,224.92986329810972,261.8987950905669
660,340,175.94146565470407,180.69256246744925,1.0071862843317483,75.53897132488112,38.304590363158525,0.0,62.097903966664425,177.36183872681914,159.7131944555685,180.81747260310547
660,1887,332.28979165588373,337.41991637206115,3.109585634325802,233.21892257443517,19.379731375598432,0.0,79.69113770585011,87.00765139153737,304.3579244238091,337.4199163720611
660,1009,208.79878233764998,208.67082637285648,1.9649168295404387,147.3687622155329,7.173671220620089e-14,0.0,61.43002012211701,0.1279559647938413,176.78001387601907,208.79878233765
660,1721,101.1290244800388,114.45325973947418,1.531777920253551,0.0,16.64129553854515,35.0,49.48772894149365,65.79409371819933,86.75457189768584,114.45706944562268
